canonicalId,name,description,module,path
"bmad-shard-doc","bmad-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_bmad/core/bmad-shard-doc/SKILL.md"
"gds-agent-game-architect","gds-agent-game-architect","Game systems architect for technical architecture, engine design, and infrastructure. Use when the user asks to talk to Cloud Dragonborn or requests the Game Architect.","gds","_bmad/gds/agents/gds-agent-game-architect/SKILL.md"
"gds-agent-game-designer","gds-agent-game-designer","Game designer for creative vision, GDD creation, and narrative design. Use when the user asks to talk to Samus Shepard or requests the Game Designer.","gds","_bmad/gds/agents/gds-agent-game-designer/SKILL.md"
"gds-agent-game-dev","gds-agent-game-dev","Consolidated game developer for story execution, code implementation, code review, QA/test authorship, and sprint orchestration. Use when the user asks to talk to Link Freeman, the Game Developer, the Game QA, or the Game Scrum Master.","gds","_bmad/gds/agents/gds-agent-game-dev/SKILL.md"
"gds-agent-game-solo-dev","gds-agent-game-solo-dev","Elite indie game developer for rapid prototyping and solo quick-flow development. Use when the user asks to talk to Indie or requests the Game Solo Dev.","gds","_bmad/gds/agents/gds-agent-game-solo-dev/SKILL.md"
"gds-agent-tech-writer","gds-agent-tech-writer","Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the Technical Writer.","gds","_bmad/gds/agents/gds-agent-tech-writer/SKILL.md"
"gds-brainstorm-game","gds-brainstorm-game","Facilitate game brainstorming sessions with game-specific techniques. Use when the user says ""brainstorm game"" or ""game ideas""","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/SKILL.md"
"gds-create-game-brief","gds-create-game-brief","Interactive game brief creation guiding users through defining their game vision. Use when the user says ""game brief"" or ""create brief""","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/SKILL.md"
"gds-domain-research","gds-domain-research","Conduct game domain and industry research. Use when the user says ""lets create a research report on [game domain or industry]""","gds","_bmad/gds/workflows/1-preproduction/research/gds-domain-research/SKILL.md"
"gds-create-gdd","gds-create-gdd","Create Game Design Documents with mechanics and implementation guidance. Use when the user says ""create GDD"" or ""game design document""","gds","_bmad/gds/workflows/2-design/gds-create-gdd/SKILL.md"
"gds-create-narrative","gds-create-narrative","Create comprehensive narrative documentation with story structure and world-building. Use when the user says ""narrative design"" or ""create narrative""","gds","_bmad/gds/workflows/2-design/gds-create-narrative/SKILL.md"
"gds-create-prd","gds-create-prd","Create a PRD from a GDD or from scratch, for use with external tools like bmad-assist. Use when the user says ""create a PRD"" or ""I want to create a new product requirements document"".","gds","_bmad/gds/workflows/2-design/gds-create-prd/SKILL.md"
"gds-create-ux-design","gds-create-ux-design","Plan UX patterns and design specifications for game UI/HUD elements. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the game UX""","gds","_bmad/gds/workflows/2-design/gds-create-ux-design/SKILL.md"
"gds-edit-gdd","gds-edit-gdd","Edit an existing Game Design Document. Use when the user says ""edit this GDD"" or ""improve this GDD"".","gds","_bmad/gds/workflows/2-design/gds-edit-gdd/SKILL.md"
"gds-edit-prd","gds-edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"" or ""improve this PRD"".","gds","_bmad/gds/workflows/2-design/gds-edit-prd/SKILL.md"
"gds-validate-gdd","gds-validate-gdd","Validate a GDD against standards. Use when the user says ""validate this GDD"" or ""run GDD validation"".","gds","_bmad/gds/workflows/2-design/gds-validate-gdd/SKILL.md"
"gds-validate-prd","gds-validate-prd","Validate a PRD against standards for external tool compatibility. Use when the user says ""validate this PRD"" or ""run PRD validation"".","gds","_bmad/gds/workflows/2-design/gds-validate-prd/SKILL.md"
"gds-check-implementation-readiness","gds-check-implementation-readiness","Verify GDD, UX, Architecture, and Epics alignment before production. Use when the user says ""check readiness"" or ""implementation readiness""","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/SKILL.md"
"gds-create-epics-and-stories","gds-create-epics-and-stories","Create Epics and Stories from GDD requirements for development. Use when the user says ""create epics"" or ""create stories""","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/SKILL.md"
"gds-game-architecture","gds-game-architecture","Design scale-adaptive game architecture with engine systems and networking. Use when the user says ""game architecture"" or ""design architecture""","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/SKILL.md"
"gds-generate-project-context","gds-generate-project-context","Create optimized project-context.md for AI agent consistency. Use when the user says ""project context"" or ""generate context""","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/SKILL.md"
"gds-code-review","gds-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","gds","_bmad/gds/workflows/4-production/gds-code-review/SKILL.md"
"gds-correct-course","gds-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","gds","_bmad/gds/workflows/4-production/gds-correct-course/SKILL.md"
"gds-create-story","gds-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","gds","_bmad/gds/workflows/4-production/gds-create-story/SKILL.md"
"gds-dev-story","gds-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","gds","_bmad/gds/workflows/4-production/gds-dev-story/SKILL.md"
"gds-retrospective","gds-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","gds","_bmad/gds/workflows/4-production/gds-retrospective/SKILL.md"
"gds-sprint-planning","gds-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/SKILL.md"
"gds-sprint-status","gds-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","gds","_bmad/gds/workflows/4-production/gds-sprint-status/SKILL.md"
"gds-e2e-scaffold","gds-e2e-scaffold","Scaffold end-to-end testing infrastructure. Use when the user says ""e2e scaffold"" or ""set up e2e testing""","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/SKILL.md"
"gds-performance-test","gds-performance-test","Design game performance testing strategy. Use when the user says ""performance test"" or ""benchmark""","gds","_bmad/gds/workflows/gametest/gds-performance-test/SKILL.md"
"gds-playtest-plan","gds-playtest-plan","Create structured playtesting plans for user feedback. Use when the user says ""playtest plan"" or ""playtesting""","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/SKILL.md"
"gds-test-automate","gds-test-automate","Generate automated game tests for gameplay systems. Use when the user says ""automate tests"" or ""generate tests""","gds","_bmad/gds/workflows/gametest/gds-test-automate/SKILL.md"
"gds-test-design","gds-test-design","Create comprehensive game test scenarios. Use when the user says ""test design"" or ""design tests""","gds","_bmad/gds/workflows/gametest/gds-test-design/SKILL.md"
"gds-test-framework","gds-test-framework","Initialize game test framework for Unity, Unreal, or Godot. Use when the user says ""test framework"" or ""set up testing""","gds","_bmad/gds/workflows/gametest/gds-test-framework/SKILL.md"
"gds-test-review","gds-test-review","Review test quality and coverage. Use when the user says ""test review"" or ""review tests""","gds","_bmad/gds/workflows/gametest/gds-test-review/SKILL.md"
"gds-document-project","gds-document-project","Analyze existing game projects to produce useful documentation. Use when the user says ""document project"" or ""generate docs""","gds","_bmad/gds/workflows/gds-document-project/SKILL.md"
"gds-quick-dev","gds-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev/SKILL.md"
"bmad-tea","bmad-tea","Master Test Architect and Quality Advisor. Use when the user asks to talk to Murat or requests the Test Architect.","tea","_bmad/tea/agents/bmad-tea/SKILL.md"
"bmad-teach-me-testing","bmad-teach-me-testing","Teach testing progressively through structured sessions. Use when user says ""lets learn testing"" or ""I want to study test practices""","tea","_bmad/tea/workflows/testarch/bmad-teach-me-testing/SKILL.md"
"bmad-testarch-atdd","bmad-testarch-atdd","Generate red-phase acceptance test scaffolds using the TDD cycle. Use when the user says ""lets write acceptance tests"" or ""I want to do ATDD""","tea","_bmad/tea/workflows/testarch/bmad-testarch-atdd/SKILL.md"
"bmad-testarch-automate","bmad-testarch-automate","Expand test automation coverage for codebase. Use when user says ""lets expand test coverage"" or ""I want to automate tests""","tea","_bmad/tea/workflows/testarch/bmad-testarch-automate/SKILL.md"
"bmad-testarch-ci","bmad-testarch-ci","Scaffold CI/CD quality pipeline with test execution. Use when the user says ""lets setup CI pipeline"" or ""I want to create quality gates""","tea","_bmad/tea/workflows/testarch/bmad-testarch-ci/SKILL.md"
"bmad-testarch-framework","bmad-testarch-framework","Initialize test framework with Playwright or Cypress. Use when the user says ""lets setup test framework"" or ""I want to initialize testing framework""","tea","_bmad/tea/workflows/testarch/bmad-testarch-framework/SKILL.md"
"bmad-testarch-nfr","bmad-testarch-nfr","Assess NFRs like performance security and reliability. Use when the user says ""lets assess NFRs"" or ""I want to evaluate non-functional requirements""","tea","_bmad/tea/workflows/testarch/bmad-testarch-nfr/SKILL.md"
"bmad-testarch-test-design","bmad-testarch-test-design","Create system-level or epic-level test plans. Use when the user says ""lets design test plan"" or ""I want to create test strategy""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-design/SKILL.md"
"bmad-testarch-test-review","bmad-testarch-test-review","Review test quality using best practices validation. Use when user says ""lets review tests"" or ""I want to evaluate test quality""","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-review/SKILL.md"
"bmad-testarch-trace","bmad-testarch-trace","Generate traceability matrix and quality gate decision. Use when the user says ""lets create traceability matrix"" or ""I want to analyze test coverage""","tea","_bmad/tea/workflows/testarch/bmad-testarch-trace/SKILL.md"
